date,revenue,cogs,opex
2023-01-01,85000,32300.0,23800.000000000004
2023-02-01,86200,32756.0,24136.000000000004
2023-03-01,92400,35112.0,25872.000000000004
2023-04-01,88600,33668.0,24808.000000000004
2023-05-01,89800,34124.0,25144.000000000004
2023-06-01,91000,34580.0,25480.000000000004
2023-07-01,92200,35036.0,25816.000000000004
2023-08-01,93400,35492.0,26152.000000000004
2023-09-01,94600,35948.0,26488.000000000004
2023-10-01,95800,36404.0,26824.000000000004
2023-11-01,97000,36860.0,27160.000000000004
2023-12-01,90200,34276.0,28756.000000000004
2024-01-01,99400,37772.0,27832.000000000004
2024-02-01,100600,38228.0,28168.000000000004
2024-03-01,101800,38684.0,28504.000000000004
2024-04-01,103000,39140.0,28840.000000000004
2024-05-01,104200,39596.0,29176.000000000004
2024-06-01,105400,40052.0,29512.000000000004
2024-07-01,106600,40508.0,29848.000000000004
2024-08-01,107800,40964.0,30184.000000000004
2024-09-01,109000,41420.0,30520.000000000004
2024-10-01,110200,41876.0,30856.000000000004
2024-11-01,111400,42332.0,31192.000000000004
2024-12-01,112600,42788.0,31528.000000000004
