date,fiscal_year,fiscal_quarter,entity,row_type,gl_account,category,department,revenue,cogs,opex,amount,budget_revenue,budget_opex
2022-01-01,2022,2022-Q1,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,102510.33,24433.35,66979.58,,106125.64,67068.45
2022-01-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6907-PAY,Payroll & Benefits,Consolidated,0,0,,37749.52,,
2022-01-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6343-SAL,Sales & Marketing,Consolidated,0,0,,11166.29,,
2022-01-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6702-RES,Research & Development,Consolidated,0,0,,6122.88,,
2022-01-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6431-CLO,Cloud Infrastructure,Consolidated,0,0,,3563.98,,
2022-01-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6116-G&A,G&A,Consolidated,0,0,,3169.80,,
2022-01-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6278-PRO,Professional Services,Consolidated,0,0,,1319.25,,
2022-01-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6371-TRA,Travel,Consolidated,0,0,,1079.59,,
2022-01-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6153-DEP,Depreciation,Consolidated,0,0,,1559.04,,
2022-01-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6229-OTH,Other Operating,Consolidated,0,0,,1249.23,,
2022-02-01,2022,2022-Q1,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,102186.59,24717.93,67070.95,,103846.23,70163.91
2022-02-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6859-PAY,Payroll & Benefits,Consolidated,0,0,,37447.24,,
2022-02-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6531-SAL,Sales & Marketing,Consolidated,0,0,,13339.41,,
2022-02-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6638-RES,Research & Development,Consolidated,0,0,,4807.29,,
2022-02-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6216-CLO,Cloud Infrastructure,Consolidated,0,0,,3249.46,,
2022-02-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6863-G&A,G&A,Consolidated,0,0,,2614.93,,
2022-02-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6165-PRO,Professional Services,Consolidated,0,0,,1577.72,,
2022-02-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6587-TRA,Travel,Consolidated,0,0,,979.68,,
2022-02-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6559-DEP,Depreciation,Consolidated,0,0,,1563.88,,
2022-02-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6896-OTH,Other Operating,Consolidated,0,0,,1491.34,,
2022-03-01,2022,2022-Q1,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,102399.81,24485.54,65820.81,,106741.74,67825.48
2022-03-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6470-PAY,Payroll & Benefits,Consolidated,0,0,,37579.06,,
2022-03-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6625-SAL,Sales & Marketing,Consolidated,0,0,,10653.68,,
2022-03-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6707-RES,Research & Development,Consolidated,0,0,,5177.28,,
2022-03-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6211-CLO,Cloud Infrastructure,Consolidated,0,0,,3518.13,,
2022-03-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6562-G&A,G&A,Consolidated,0,0,,2626.38,,
2022-03-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6615-PRO,Professional Services,Consolidated,0,0,,1607.86,,
2022-03-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6326-TRA,Travel,Consolidated,0,0,,947.92,,
2022-03-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6729-DEP,Depreciation,Consolidated,0,0,,1727.37,,
2022-03-01,2022,2022-Q1,NovaStack Analytics Inc.,OPEX_DETAIL,6144-OTH,Other Operating,Consolidated,0,0,,1983.13,,
2022-04-01,2022,2022-Q2,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,104817.60,25028.67,72442.84,,110502.29,74771.34
2022-04-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6844-PAY,Payroll & Benefits,Consolidated,0,0,,40318.52,,
2022-04-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6902-SAL,Sales & Marketing,Consolidated,0,0,,13857.08,,
2022-04-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6987-RES,Research & Development,Consolidated,0,0,,5557.77,,
2022-04-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6774-CLO,Cloud Infrastructure,Consolidated,0,0,,3004.27,,
2022-04-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6633-G&A,G&A,Consolidated,0,0,,3263.11,,
2022-04-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6408-PRO,Professional Services,Consolidated,0,0,,1852.32,,
2022-04-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6569-TRA,Travel,Consolidated,0,0,,1290.04,,
2022-04-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6758-DEP,Depreciation,Consolidated,0,0,,1728.27,,
2022-04-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6131-OTH,Other Operating,Consolidated,0,0,,1571.46,,
2022-05-01,2022,2022-Q2,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,106801.79,26180.68,68164.68,,110695.33,71474.34
2022-05-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6162-PAY,Payroll & Benefits,Consolidated,0,0,,38739.92,,
2022-05-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6590-SAL,Sales & Marketing,Consolidated,0,0,,10881.46,,
2022-05-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6967-RES,Research & Development,Consolidated,0,0,,5040.30,,
2022-05-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6511-CLO,Cloud Infrastructure,Consolidated,0,0,,3660.57,,
2022-05-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6536-G&A,G&A,Consolidated,0,0,,3195.59,,
2022-05-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6802-PRO,Professional Services,Consolidated,0,0,,1732.50,,
2022-05-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6210-TRA,Travel,Consolidated,0,0,,895.12,,
2022-05-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6602-DEP,Depreciation,Consolidated,0,0,,1887.33,,
2022-05-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6829-OTH,Other Operating,Consolidated,0,0,,2131.89,,
2022-06-01,2022,2022-Q2,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,105724.53,25167.24,73834.67,,107833.26,75215.06
2022-06-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6554-PAY,Payroll & Benefits,Consolidated,0,0,,40351.12,,
2022-06-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6175-SAL,Sales & Marketing,Consolidated,0,0,,13615.97,,
2022-06-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6182-RES,Research & Development,Consolidated,0,0,,6812.65,,
2022-06-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6429-CLO,Cloud Infrastructure,Consolidated,0,0,,3765.87,,
2022-06-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6722-G&A,G&A,Consolidated,0,0,,2862.68,,
2022-06-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6251-PRO,Professional Services,Consolidated,0,0,,1381.20,,
2022-06-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6167-TRA,Travel,Consolidated,0,0,,1242.45,,
2022-06-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6229-DEP,Depreciation,Consolidated,0,0,,2208.76,,
2022-06-01,2022,2022-Q2,NovaStack Analytics Inc.,OPEX_DETAIL,6381-OTH,Other Operating,Consolidated,0,0,,1593.97,,
2022-07-01,2022,2022-Q3,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,109847.18,26616.54,73972.63,,113556.07,76006.15
2022-07-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6739-PAY,Payroll & Benefits,Consolidated,0,0,,39735.87,,
2022-07-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6748-SAL,Sales & Marketing,Consolidated,0,0,,14842.59,,
2022-07-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6699-RES,Research & Development,Consolidated,0,0,,7023.52,,
2022-07-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6661-CLO,Cloud Infrastructure,Consolidated,0,0,,3169.81,,
2022-07-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6829-G&A,G&A,Consolidated,0,0,,2950.48,,
2022-07-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6432-PRO,Professional Services,Consolidated,0,0,,1394.19,,
2022-07-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6490-TRA,Travel,Consolidated,0,0,,1380.08,,
2022-07-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6711-DEP,Depreciation,Consolidated,0,0,,2236.58,,
2022-07-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6643-OTH,Other Operating,Consolidated,0,0,,1239.51,,
2022-08-01,2022,2022-Q3,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,111655.80,27157.80,74480.57,,113101.04,74731.57
2022-08-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6401-PAY,Payroll & Benefits,Consolidated,0,0,,43209.50,,
2022-08-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6564-SAL,Sales & Marketing,Consolidated,0,0,,13182.02,,
2022-08-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6617-RES,Research & Development,Consolidated,0,0,,5578.11,,
2022-08-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6719-CLO,Cloud Infrastructure,Consolidated,0,0,,3197.85,,
2022-08-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6540-G&A,G&A,Consolidated,0,0,,2479.91,,
2022-08-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6201-PRO,Professional Services,Consolidated,0,0,,1958.36,,
2022-08-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6912-TRA,Travel,Consolidated,0,0,,1287.46,,
2022-08-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6818-DEP,Depreciation,Consolidated,0,0,,1680.46,,
2022-08-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6217-OTH,Other Operating,Consolidated,0,0,,1906.90,,
2022-09-01,2022,2022-Q3,NovaStack Analytics Inc.,PL_SUMMARY,4000-REV,,Consolidated,113700.38,28309.65,75716.06,,115396.89,77240.30
2022-09-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6973-PAY,Payroll & Benefits,Consolidated,0,0,,43686.52,,
2022-09-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6770-SAL,Sales & Marketing,Consolidated,0,0,,12236.03,,
2022-09-01,2022,2022-Q3,NovaStack Analytics Inc.,OPEX_DETAIL,6766-RES,Research & Development,Consolidated,0,0,,5336.94,,
