date,revenue,cogs,opex,category,amount,budget_revenue,budget_opex
2025-01-01,142587.43,34821.90,,,,145000.00,90500.00
2025-01-01,0,0,,Payroll,52405.22,,
2025-01-01,0,0,,Cloud Infrastructure,11853.57,,
2025-01-01,0,0,,Sales & Marketing,14438.18,,
2025-01-01,0,0,,R&D Tools,4812.73,,
2025-01-01,0,0,,G&A & Facilities,3832.36,,
2025-01-01,0,0,,Professional Services,1782.49,,
2025-02-01,146218.90,35713.61,,,,148000.00,91200.00
2025-02-01,0,0,,Payroll,53044.25,,
2025-02-01,0,0,,Cloud Infrastructure,11998.11,,
2025-02-01,0,0,,Sales & Marketing,14614.24,,
2025-02-01,0,0,,R&D Tools,4871.41,,
2025-02-01,0,0,,G&A & Facilities,3879.09,,
2025-02-01,0,0,,Professional Services,1804.23,,
2025-03-01,138942.17,33949.29,,,,152000.00,92000.00
2025-03-01,0,0,,Payroll,54747.73,,
2025-03-01,0,0,,Cloud Infrastructure,12464.46,,
2025-03-01,0,0,,Sales & Marketing,18217.28,,
2025-03-01,0,0,,R&D Tools,5081.66,,
2025-03-01,0,0,,G&A & Facilities,3931.10,,
2025-03-01,0,0,,Professional Services,1438.21,,
2025-04-01,151834.62,37098.45,,,,150000.00,92800.00
2025-04-01,0,0,,Payroll,53776.58,,
2025-04-01,0,0,,Cloud Infrastructure,12163.75,,
2025-04-01,0,0,,Sales & Marketing,14816.00,,
2025-04-01,0,0,,R&D Tools,4938.67,,
2025-04-01,0,0,,G&A & Facilities,3932.64,,
2025-04-01,0,0,,Professional Services,1829.14,,
2025-05-01,156412.08,38220.95,,,,155000.00,93500.00
2025-05-01,0,0,,Payroll,54158.13,,
2025-05-01,0,0,,Cloud Infrastructure,12250.05,,
2025-05-01,0,0,,Sales & Marketing,14921.12,,
2025-05-01,0,0,,R&D Tools,4973.71,,
2025-05-01,0,0,,G&A & Facilities,3960.54,,
2025-05-01,0,0,,Professional Services,1842.11,,
2025-06-01,161238.55,39403.42,,,,160000.00,94800.00
2025-06-01,0,0,,Payroll,55180.34,,
2025-06-01,0,0,,Cloud Infrastructure,12481.27,,
2025-06-01,0,0,,Sales & Marketing,15202.75,,
2025-06-01,0,0,,R&D Tools,5067.58,,
2025-06-01,0,0,,G&A & Facilities,4035.30,,
2025-06-01,0,0,,Professional Services,1876.88,,
2025-07-01,158624.30,38764.95,,,,165000.00,96000.00
2025-07-01,0,0,,Payroll,55983.99,,
2025-07-01,0,0,,Cloud Infrastructure,12663.05,,
2025-07-01,0,0,,Sales & Marketing,15424.16,,
2025-07-01,0,0,,R&D Tools,5141.39,,
2025-07-01,0,0,,G&A & Facilities,4094.07,,
2025-07-01,0,0,,Professional Services,1904.22,,
2025-08-01,165318.74,40403.08,,,,168000.00,97200.00
2025-08-01,0,0,,Payroll,56514.11,,
2025-08-01,0,0,,Cloud Infrastructure,12782.96,,
2025-08-01,0,0,,Sales & Marketing,15570.22,,
2025-08-01,0,0,,R&D Tools,5190.07,,
2025-08-01,0,0,,G&A & Facilities,4132.84,,
2025-08-01,0,0,,Professional Services,1922.25,,
2025-09-01,172091.66,42062.41,,,,172000.00,98500.00
2025-09-01,0,0,,Payroll,57533.05,,
2025-09-01,0,0,,Cloud Infrastructure,13013.43,,
2025-09-01,0,0,,Sales & Marketing,15850.94,,
2025-09-01,0,0,,R&D Tools,5283.65,,
2025-09-01,0,0,,G&A & Facilities,4207.35,,
2025-09-01,0,0,,Professional Services,1956.91,,
2025-10-01,178934.22,43736.36,,,,178000.00,99800.00
2025-10-01,0,0,,Payroll,58458.23,,
2025-10-01,0,0,,Cloud Infrastructure,13222.70,,
2025-10-01,0,0,,Sales & Marketing,16105.84,,
2025-10-01,0,0,,R&D Tools,5368.61,,
2025-10-01,0,0,,G&A & Facilities,4275.01,,
2025-10-01,0,0,,Professional Services,1988.38,,
2025-11-01,174208.19,42580.99,,,,182000.00,101200.00
2025-11-01,0,0,,Payroll,59532.42,,
2025-11-01,0,0,,Cloud Infrastructure,13465.66,,
2025-11-01,0,0,,Sales & Marketing,16401.79,,
2025-11-01,0,0,,R&D Tools,5467.26,,
2025-11-01,0,0,,G&A & Facilities,4353.56,,
2025-11-01,0,0,,Professional Services,2024.91,,
2025-12-01,189512.88,46320.65,,,,185000.00,102500.00
2025-12-01,0,0,,Payroll,56725.11,,
2025-12-01,0,0,,Cloud Infrastructure,15168.25,,
2025-12-01,0,0,,Sales & Marketing,19323.94,,
2025-12-01,0,0,,R&D Tools,6129.64,,
2025-12-01,0,0,,G&A & Facilities,4363.47,,
2025-12-01,0,0,,Professional Services,2181.73,,
