date,revenue,cogs,opex,category,amount
2024-01-01,99400,37772.0,,,
2024-01-01,0,0.0,,Marketing,9741.2
2024-01-01,0,0.0,,Payroll,12524.400000000001
2024-01-01,0,0.0,,Rent,3339.84
2024-01-01,0,0.0,,Software,2226.5600000000004
2024-02-01,100600,38228.0,,,
2024-02-01,0,0.0,,Marketing,9858.800000000001
2024-02-01,0,0.0,,Payroll,12675.600000000002
2024-02-01,0,0.0,,Rent,3380.1600000000003
2024-02-01,0,0.0,,Software,2253.4400000000005
2024-03-01,101800,38684.0,,,
2024-03-01,0,0.0,,Marketing,9976.400000000001
2024-03-01,0,0.0,,Payroll,12826.800000000001
2024-03-01,0,0.0,,Rent,3420.4800000000005
2024-03-01,0,0.0,,Software,2280.32
2024-04-01,103000,39140.0,,,
2024-04-01,0,0.0,,Marketing,10094.0
2024-04-01,0,0.0,,Payroll,12978.000000000002
2024-04-01,0,0.0,,Rent,3460.8
2024-04-01,0,0.0,,Software,2307.2000000000003
2024-05-01,104200,39596.0,,,
2024-05-01,0,0.0,,Marketing,10211.6
2024-05-01,0,0.0,,Payroll,13129.200000000003
2024-05-01,0,0.0,,Rent,3501.1200000000003
2024-05-01,0,0.0,,Software,2334.0800000000004
2024-06-01,105400,40052.0,,,
2024-06-01,0,0.0,,Marketing,10329.2
2024-06-01,0,0.0,,Payroll,13280.400000000001
2024-06-01,0,0.0,,Rent,3541.4400000000005
2024-06-01,0,0.0,,Software,2360.9600000000005
2024-07-01,106600,40508.0,,,
2024-07-01,0,0.0,,Marketing,10446.800000000001
2024-07-01,0,0.0,,Payroll,13431.600000000002
2024-07-01,0,0.0,,Rent,3581.76
2024-07-01,0,0.0,,Software,2387.84
2024-08-01,107800,40964.0,,,
2024-08-01,0,0.0,,Marketing,10564.400000000001
2024-08-01,0,0.0,,Payroll,13582.800000000001
2024-08-01,0,0.0,,Rent,3622.0800000000004
2024-08-01,0,0.0,,Software,2414.7200000000003
2024-09-01,109000,41420.0,,,
2024-09-01,0,0.0,,Marketing,10682.0
2024-09-01,0,0.0,,Payroll,13734.000000000002
2024-09-01,0,0.0,,Rent,3662.4
2024-09-01,0,0.0,,Software,2441.6000000000004
2024-10-01,110200,41876.0,,,
2024-10-01,0,0.0,,Marketing,10799.6
2024-10-01,0,0.0,,Payroll,13885.200000000003
2024-10-01,0,0.0,,Rent,3702.7200000000003
2024-10-01,0,0.0,,Software,2468.4800000000005
2024-11-01,111400,42332.0,,,
2024-11-01,0,0.0,,Marketing,10917.2
2024-11-01,0,0.0,,Payroll,14036.400000000001
2024-11-01,0,0.0,,Rent,3743.0400000000004
2024-11-01,0,0.0,,Software,2495.36
2024-12-01,112600,42788.0,,,
2024-12-01,0,0.0,,Marketing,11034.800000000001
2024-12-01,0,0.0,,Payroll,14187.600000000002
2024-12-01,0,0.0,,Rent,3783.36
2024-12-01,0,0.0,,Software,2522.2400000000002
