date,revenue,cogs,opex,category,amount,budget_revenue,budget_opex
2026-01-01,195248.33,47710.78,,,,190000.00,105000.00
2026-01-01,0,0,,Payroll,62823.42,,
2026-01-01,0,0,,Cloud Infrastructure,14210.06,,
2026-01-01,0,0,,Sales & Marketing,17308.49,,
2026-01-01,0,0,,R&D Tools,5769.50,,
2026-01-01,0,0,,G&A & Facilities,4594.23,,
2026-01-01,0,0,,Professional Services,2136.85,,
2026-02-01,201876.42,49328.66,,,,196000.00,106500.00
2026-02-01,0,0,,Payroll,63577.45,,
2026-02-01,0,0,,Cloud Infrastructure,14380.61,,
2026-02-01,0,0,,Sales & Marketing,17516.23,,
2026-02-01,0,0,,R&D Tools,5838.74,,
2026-02-01,0,0,,G&A & Facilities,4649.37,,
2026-02-01,0,0,,Professional Services,2162.50,,
2026-03-01,208441.90,50931.86,,,,202000.00,108000.00
2026-03-01,0,0,,Payroll,64595.45,,
2026-03-01,0,0,,Cloud Infrastructure,14610.88,,
2026-03-01,0,0,,Sales & Marketing,17796.71,,
2026-03-01,0,0,,R&D Tools,5932.24,,
2026-03-01,0,0,,G&A & Facilities,4723.82,,
2026-03-01,0,0,,Professional Services,2197.12,,
2026-04-01,214628.77,52443.84,,,,208000.00,109500.00
2026-04-01,0,0,,Payroll,65504.56,,
2026-04-01,0,0,,Cloud Infrastructure,14816.51,,
2026-04-01,0,0,,Sales & Marketing,18047.18,,
2026-04-01,0,0,,R&D Tools,6015.73,,
2026-04-01,0,0,,G&A & Facilities,4790.30,,
2026-04-01,0,0,,Professional Services,2228.05,,
2026-05-01,221347.15,54085.65,,,,215000.00,111000.00
2026-05-01,0,0,,Payroll,66431.32,,
2026-05-01,0,0,,Cloud Infrastructure,15026.13,,
2026-05-01,0,0,,Sales & Marketing,18302.51,,
2026-05-01,0,0,,R&D Tools,6100.84,,
2026-05-01,0,0,,G&A & Facilities,4858.07,,
2026-05-01,0,0,,Professional Services,2259.57,,
