date,revenue,cogs,opex,budget_revenue,budget_opex
2025-01-01,142587.43,34821.90,89124.55,145000.00,90500.00
2025-02-01,146218.90,35713.61,90211.33,148000.00,91200.00
2025-03-01,138942.17,33949.29,95880.44,152000.00,92000.00
2025-04-01,151834.62,37098.45,91456.78,150000.00,92800.00
2025-05-01,156412.08,38220.95,92105.66,155000.00,93500.00
2025-06-01,161238.55,39403.42,93844.12,160000.00,94800.00
2025-07-01,158624.30,38764.95,95210.88,165000.00,96000.00
2025-08-01,165318.74,40403.08,96112.45,168000.00,97200.00
2025-09-01,172091.66,42062.41,97845.33,172000.00,98500.00
2025-10-01,178934.22,43736.36,99418.77,178000.00,99800.00
2025-11-01,174208.19,42580.99,101245.60,182000.00,101200.00
2025-12-01,189512.88,46320.65,103892.14,185000.00,102500.00
