reporting_period,fiscal_year,fiscal_quarter,fiscal_month,entity,legal_entity_code,currency,row_type,gl_account,gl_account_name,cost_center,department,region,product_line,customer_segment,category,subcategory,vendor_name,invoice_id,revenue,cogs,opex,amount,budget_revenue,budget_opex,budget_amount,variance_amount,headcount_allocated,fte_count,transaction_count,active_customers,arr_millions,net_revenue_retention_pct,logo_churn_pct,gross_margin_pct,ebitda,cash_collections,deferred_revenue,americas_pct,emea_pct,apac_pct,source_system,last_updated,preparer,notes
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,REVENUE_DETAIL,4000,Subscription Revenue,CC-CUS-EM,Customer Success,EMEA,Platform Core,Strategic,,Platform Core,,REV-202201-100001,11383.03,886.25,,,11555.20,,,-172.17,,,195,,,,,,,,,,,,NetSuite,2022-01-28,fp&a@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,REVENUE_DETAIL,4000,Subscription Revenue,CC-SAL-La,Sales,LatAm,Analytics Pro,Enterprise,,Analytics Pro,,REV-202201-100002,1396.25,5043.36,,,1417.37,,,-21.12,,,232,,,,,,,,,,,,NetSuite,2022-01-28,fp&a@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,REVENUE_DETAIL,4000,Subscription Revenue,CC-PRO-La,Product,LatAm,Insights Add-on,Mid-Market,,Insights Add-on,,REV-202201-100003,13996.14,7663.66,,,14207.83,,,-211.69,,,145,,,,,,,,,,,,NetSuite,2022-01-28,fp&a@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,REVENUE_DETAIL,4000,Subscription Revenue,CC-SAL-La,Sales,LatAm,API Usage,Mid-Market,,API Usage,,REV-202201-100004,27160.62,2366.10,,,27571.42,,,-410.80,,,188,,,,,,,,,,,,NetSuite,2022-01-28,fp&a@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,REVENUE_DETAIL,4000,Subscription Revenue,CC-PRO-AP,Product,APAC,Professional Services,Strategic,,Professional Services,,REV-202201-100005,48574.28,8473.98,,,49308.95,,,-734.67,,,346,,,,,,,,,,,,NetSuite,2022-01-28,fp&a@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6100-63,Payroll & Benefits,CC-PEO-La,People Ops,LatAm,,,Payroll & Benefits,Payroll & Benefits - People Ops,,AP-202201-100006,0,0,,521.54,,,540.85,-19.31,12.42,7,38,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6100-58,Payroll & Benefits,CC-OPE-Am,Operations,Americas,,,Payroll & Benefits,Payroll & Benefits - Operations,Figma,AP-202201-100007,0,0,,730.24,,,757.28,-27.04,17.39,8,1,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Figma
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6100-78,Payroll & Benefits,CC-G&A-AP,G&A,APAC,,,Payroll & Benefits,Payroll & Benefits - G&A,CrowdStrike,AP-202201-100008,0,0,,1415.98,,,1468.42,-52.44,33.71,12,35,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: CrowdStrike
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6100-65,Payroll & Benefits,CC-SEC-EM,Security,EMEA,,,Payroll & Benefits,Payroll & Benefits - Security,Zoom,AP-202201-100009,0,0,,1129.33,,,1171.15,-41.82,26.89,8,2,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Zoom
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6105-78,Contractors,CC-SAL-La,Sales,LatAm,,,Contractors,Contractors - Sales,Notion,AP-202201-100010,0,0,,1055.54,,,1094.63,-39.09,25.13,,2,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,Vendor: Notion
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6105-64,Contractors,CC-FIN-Am,Finance,Americas,,,Contractors,Contractors - Finance,,AP-202201-100011,0,0,,2132.69,,,2211.67,-78.98,50.78,,9,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
2022-01-01,2022,2022-Q1,1,NovaStack Analytics Inc.,NS-US-01,USD,OPEX_GL,6105-58,Contractors,CC-PEO-EM,People Ops,EMEA,,,Contractors,Contractors - People Ops,,AP-202201-100012,0,0,,1269.66,,,1316.68,-47.02,30.23,,21,,,,,,,,,,,,NetSuite,2022-01-28,accounting@novastack.io,
